"Species","Type","Orthologue","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Aegilops umbellulata","1-to-1 View Gene Tree","AeUmb.TA1851.r1.5UG0049610 Compare Regions (5U_TA1851:588,801,001-588,803,232:1) View Sequence Alignments","76.03 %","80.73 %","n/a","12.48","No"
"Amborella trichopoda","1-to-many View Gene Tree","AMTR_s00047p00149040 Compare Regions (AmTr_v1.0_scaffold00047:2,201,250-2,202,683:1) View Sequence Alignments","61.84 %","53.64 %","n/a","93.76","Yes"
"Ananas comosus","Many-to-many View Gene Tree","Aco018358.1.path1 Compare Regions (contig8:11,820,286-11,825,259:-1) View Sequence Alignments","65.27 %","68.00 %","n/a","0.00","No"
"Ananas comosus","Many-to-many View Gene Tree","Aco030807.1.path1 Compare Regions (contig8:11,820,286-11,824,410:-1) View Sequence Alignments","70.62 %","70.36 %","n/a","0.00","No"
"Arabidopsis halleri","Many-to-many View Gene Tree","g01180 Compare Regions (FJVB01000002.1:1,175,367-1,183,035:-1) View Sequence Alignments","21.02 %","51.64 %","n/a","65.91","No"
"Arabidopsis halleri","Many-to-many View Gene Tree","g13513 Compare Regions (FJVB01000036.1:883,289-885,355:1) View Sequence Alignments","60.83 %","61.27 %","n/a","98.56","Yes"
"Arabidopsis halleri","Many-to-many View Gene Tree","g22169 Compare Regions (FJVB01000110.1:113,117-115,161:-1) View Sequence Alignments","57.38 %","62.18 %","n/a","91.27","Yes"
"Arabidopsis lyrata","Many-to-many View Gene Tree","Al_scaffold_0002_2330 Compare Regions (2:17,080,249-17,082,238:-1) View Sequence Alignments","51.37 %","51.27 %","n/a","0.00","No"
"Arabidopsis lyrata","Many-to-many View Gene Tree","fgenesh2_kg.1__2240__AT1G20560.1 Compare Regions (1:8,782,100-8,784,239:-1) View Sequence Alignments","60.36 %","60.91 %","n/a","96.02","Yes"
"Arabidopsis lyrata","Many-to-many View Gene Tree","fgenesh2_kg.3__3358__AT2G17650.1 Compare Regions (3:22,180,837-22,182,802:1) View Sequence Alignments","57.55 %","62.36 %","n/a","0.00","No"
"Arabidopsis thaliana","Many-to-many View Gene Tree","AAE1  (AT1G20560) Compare Regions (1:7,119,671-7,121,871:-1) View Sequence Alignments","60.25 %","60.91 %","n/a","96.54","Yes"
"Arabidopsis thaliana","Many-to-many View Gene Tree","AT1G76290  (AT1G76290) Compare Regions (1:28,623,398-28,625,408:-1) View Sequence Alignments","51.28 %","50.91 %","n/a","0.00","No"
"Arabidopsis thaliana","Many-to-many View Gene Tree","AT2G17650  (AT2G17650) Compare Regions (2:7,670,878-7,673,152:1) View Sequence Alignments","56.22 %","61.64 %","n/a","0.00","No"
"Arabis alpina","Many-to-many View Gene Tree","AALP_AA1G223900 Compare Regions (1:15,439,246-15,441,224:-1) View Sequence Alignments","61.52 %","61.64 %","n/a","n/a","No"
"Arabis alpina","Many-to-many View Gene Tree","AALP_AA2G204800 Compare Regions (2:24,979,618-24,981,904:-1) View Sequence Alignments","51.26 %","48.18 %","n/a","n/a","No"
"Arabis alpina","Many-to-many View Gene Tree","AALP_AA3G336100 Compare Regions (3:25,073,755-25,076,129:1) View Sequence Alignments","59.68 %","61.09 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah01g105000 Compare Regions (CM064396.1:12,036,998-12,041,090:-1) View Sequence Alignments","56.32 %","60.73 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah05g038300 Compare Regions (CM064400.1:4,005,083-4,019,822:-1) View Sequence Alignments","44.88 %","45.45 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah09g190400 Compare Regions (CM064404.1:38,407,709-38,408,950:1) View Sequence Alignments","43.53 %","22.00 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah12g150900 Compare Regions (CM064407.1:23,063,144-23,064,328:-1) View Sequence Alignments","38.74 %","13.45 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah15g038300 Compare Regions (CM064410.1:4,005,083-4,019,822:-1) View Sequence Alignments","44.88 %","45.45 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah15g140400 Compare Regions (CM064410.1:17,647,297-17,650,258:1) View Sequence Alignments","53.31 %","62.91 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah16g192600 Compare Regions (CM064411.1:29,803,930-29,804,617:1) View Sequence Alignments","41.75 %","14.73 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah16g486800 Compare Regions (CM064411.1:144,943,380-144,943,915:-1) View Sequence Alignments","48.55 %","15.27 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah18g146600 Compare Regions (CM064413.1:17,286,135-17,286,417:-1) View Sequence Alignments","44.83 %","7.09 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah18g146700 Compare Regions (CM064413.1:17,286,433-17,291,327:-1) View Sequence Alignments","16.18 %","13.09 %","n/a","n/a","No"
"Arachis hypogaea","Many-to-many View Gene Tree","arahy.Tifrunner.gnm2.ann2.Ah20g009900 Compare Regions (CM064415.1:849,361-854,873:1) View Sequence Alignments","56.63 %","60.55 %","n/a","n/a","No"
"Avena sativa OT3098","1-to-many View Gene Tree","AVESA.00001b.r3.1Dg0003439 Compare Regions (1D:466,136,676-466,138,582:-1) View Sequence Alignments","82.33 %","82.18 %","n/a","99.94","Yes"
"Avena sativa OT3098","1-to-many View Gene Tree","AVESA.00001b.r3.4Ag0002459 Compare Regions (4A:348,190,611-348,192,644:-1) View Sequence Alignments","80.21 %","82.55 %","n/a","98.54","Yes"
"Avena sativa OT3098","1-to-many View Gene Tree","AVESA.00001b.r3.4Cg0001058 Compare Regions (4C:77,373,067-77,375,172:-1) View Sequence Alignments","80.95 %","83.45 %","n/a","99.27","Yes"
"Avena sativa Sang","1-to-1 View Gene Tree","AVESA.00010b.r2.1DG0126140 Compare Regions (1D:452,517,478-452,519,314:-1) View Sequence Alignments","82.33 %","82.18 %","n/a","91.19","Yes"
"Avena sativa Sang","1-to-1 View Gene Tree","AVESA.00010b.r2.4AG0626470 Compare Regions (4A:350,691,195-350,693,768:-1) View Sequence Alignments","82.70 %","82.55 %","n/a","82.36","Yes"
"Avena sativa Sang","1-to-many View Gene Tree","AVESA.00010b.r2.4CG1273550 Compare Regions (4C:84,165,285-84,167,083:-1) View Sequence Alignments","83.76 %","83.45 %","n/a","96.58","Yes"
"Avena sativa Sang","1-to-many View Gene Tree","AVESA.00010b.r2.4CG1273590 Compare Regions (4C:84,250,908-84,252,095:1) View Sequence Alignments","83.78 %","50.73 %","n/a","87.13","Yes"
"Beta vulgaris","Many-to-many View Gene Tree","BVRB_1g021160 Compare Regions (Bvchr1_un.sca005:1,075,796-1,081,920:1) View Sequence Alignments","63.96 %","64.55 %","n/a","0.00","No"
"Beta vulgaris","Many-to-many View Gene Tree","BVRB_1g021210 Compare Regions (Bvchr1_un.sca005:1,287,724-1,293,898:1) View Sequence Alignments","65.88 %","66.00 %","n/a","85.26","Yes"
"Beta vulgaris","Many-to-many View Gene Tree","BVRB_6g152180 Compare Regions (6:56,617,685-56,630,689:1) View Sequence Alignments","47.38 %","60.73 %","n/a","74.38","Yes"
"Beta vulgaris","Many-to-many View Gene Tree","BVRB_6g152200 Compare Regions (6:56,637,356-56,648,810:-1) View Sequence Alignments","26.25 %","42.91 %","n/a","0.00","No"
"Brachypodium distachyon","1-to-1 View Gene Tree","BRADI_1g76170v3 Compare Regions (1:73,077,201-73,078,889:1) View Sequence Alignments","77.40 %","79.09 %","n/a","100.00","Yes"
"Brassica juncea","Many-to-many View Gene Tree","BjuA06g28390S Compare Regions (A06:27,554,376-27,556,160:1) View Sequence Alignments","61.23 %","61.45 %","n/a","n/a","No"
"Brassica juncea","Many-to-many View Gene Tree","BjuA07g02740S Compare Regions (A07:2,479,529-2,481,658:-1) View Sequence Alignments","56.40 %","60.91 %","n/a","n/a","No"
"Brassica juncea","Many-to-many View Gene Tree","BjuB03g03920S Compare Regions (B03:5,950,589-5,953,020:-1) View Sequence Alignments","55.46 %","60.00 %","n/a","n/a","No"
"Brassica juncea","Many-to-many View Gene Tree","BjuB04g24860S Compare Regions (B04:38,682,917-38,685,431:1) View Sequence Alignments","60.90 %","61.45 %","n/a","n/a","No"
"Brassica napus","Many-to-many View Gene Tree","BnaA07g02760D  (GSBRNA2T00026560001) Compare Regions (LK032157:376,416-378,348:1) View Sequence Alignments","57.09 %","60.73 %","n/a","94.17","Yes"
"Brassica napus","Many-to-many View Gene Tree","BnaCnng43930D  (GSBRNA2T00041247001) Compare Regions (LK034469:23,536-25,458:1) View Sequence Alignments","56.28 %","61.09 %","n/a","96.20","Yes"
"Brassica napus","Many-to-many View Gene Tree","BnaA06g14470D  (GSBRNA2T00043219001) Compare Regions (LK032238:435,729-437,856:1) View Sequence Alignments","61.41 %","61.64 %","n/a","98.45","Yes"
"Brassica napus","Many-to-many View Gene Tree","BnaC05g15870D  (GSBRNA2T00047754001) Compare Regions (LK032273:144,803-146,810:-1) View Sequence Alignments","61.82 %","61.82 %","n/a","0.00","No"
"Brassica oleracea","Many-to-many View Gene Tree","Bo5g030410 Compare Regions (C5:10,318,188-10,320,091:-1) View Sequence Alignments","59.03 %","61.82 %","n/a","96.35","Yes"
"Brassica oleracea","Many-to-many View Gene Tree","Bo7g014250 Compare Regions (C7:4,867,343-4,869,209:-1) View Sequence Alignments","56.28 %","61.09 %","n/a","96.21","Yes"
"Brassica rapa R-o-18","1-to-many View Gene Tree","A07p004630.1_BraROA Compare Regions (A07:2,751,021-2,752,881:1) View Sequence Alignments","56.62 %","61.45 %","n/a","n/a","No"
"Cajanus cajan (pigeon pea) - GCA_000340665.1","Many-to-many View Gene Tree","C.cajan_12465 Compare Regions (6:15,410,484-15,411,113:1) View Sequence Alignments","46.89 %","17.82 %","n/a","n/a","No"
"Cajanus cajan (pigeon pea) - GCA_000340665.1","Many-to-many View Gene Tree","C.cajan_24032 Compare Regions (KQ483421.1:305,285-307,117:1) View Sequence Alignments","63.16 %","63.27 %","n/a","n/a","No"
